year	id	name	AI1701	AI1701_source_title_de	AI1701_source_valid_from	AI1701_source_periodicity	AI1701_source_name	AI1701_source_url
2000	09178	Freising, Landkreis	60076	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2000	09178	Freising, Landkreis	60076	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2005	09178	Freising, Landkreis	66334	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2005	09178	Freising, Landkreis	66334	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2006	09178	Freising, Landkreis	68580	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2006	09178	Freising, Landkreis	68580	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2007	09178	Freising, Landkreis	70733	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2007	09178	Freising, Landkreis	70733	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2008	09178	Freising, Landkreis	67837	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2008	09178	Freising, Landkreis	67837	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2009	09178	Freising, Landkreis	66987	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2009	09178	Freising, Landkreis	66987	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2010	09178	Freising, Landkreis	69686	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2010	09178	Freising, Landkreis	69686	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2011	09178	Freising, Landkreis	69942	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2011	09178	Freising, Landkreis	69942	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2012	09178	Freising, Landkreis	71213	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2012	09178	Freising, Landkreis	71213	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2013	09178	Freising, Landkreis	72572	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2013	09178	Freising, Landkreis	72572	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2014	09178	Freising, Landkreis	72789	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2014	09178	Freising, Landkreis	72789	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2015	09178	Freising, Landkreis	75534	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2015	09178	Freising, Landkreis	75534	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2016	09178	Freising, Landkreis	77405	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2016	09178	Freising, Landkreis	77405	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2017	09178	Freising, Landkreis	78798	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
2017	09178	Freising, Landkreis	78798	Regionalatlas Deutschland	1995-01-01T00:00:00	JAEHRLICH	99910	
